,0
JPST LN,DARREN
JPST IM,DARREN
JPTS LN,DARREN
COCB LN,DARREN
CCBO LN,DARREN
CCBO IM,DARREN
IQEC FP,DARREN
IQEC IM,DARREN
GBP5 LN,DARREN
GBPC LN,DARREN
USDC LN,DARREN
USDG LN,DARREN
USDC IM,DARREN
USAB GY,DARREN
AFLE SW,DARREN
AFLT SW,DARREN
CBBB IM,DARREN
CBBB SW,DARREN
CBUS5A SW,DARREN
CBUS5AN MM,DARREN
CBUSAC SW,DARREN
CBUSACN MM,DARREN
EBBB FP,DARREN
EBBB IM,DARREN
ECOEUA SW,DARREN
EEX5 SW,DARREN
EEXF LN,DARREN
EUCO LN,DARREN
ERND SW,DARREN
FLO5 LN,DARREN
FLOA LN,DARREN
FLOE IM,DARREN
FLOE SW,DARREN
FLOS LN,DARREN
FLOS SW,DARREN
FLOT SW,DARREN
FLTR IM,DARREN
ICOV SW,DARREN
IEAA SW,DARREN
IEAH LN,DARREN
IEBC LN,DARREN
OM3G GR,DARREN
ERNA LN,DARREN
ERNA SW,DARREN
IS15 SW,DARREN
IUCB IM,DARREN
IUCB SW,DARREN
JEST GY,DARREN
JEST IM,DARREN
JEST LN,DARREN
JGST LN,DARREN
JPPS GY,DARREN
JPST SW,DARREN
JSET LN,DARREN
LCRP LN,DARREN
LQDA SW,DARREN
HLQD LN,DARREN
LQDH NA,DARREN
LQDH SW,DARREN
LQDS LN,DARREN
LQEE SW,DARREN
LQGH LN,DARREN
LUSC IM,DARREN
LUSC SW,DARREN
SDIA SW,DARREN
SDIG SW,DARREN
SLXX SW,DARREN
SUSE SW,DARREN
SXRR GY,DARREN
SYBN GY,DARREN
UBBB FP,DARREN
UBBB IM,DARREN
UC82 LN,DARREN
UC85 LN,DARREN
UCRP FP,DARREN
UEF9 GY,DARREN
XB4F SW,DARREN
XBEC SW,DARREN
XDEP IM,DARREN
XDEPEUR SW,DARREN
XDEP SW,DARREN
XDGE IM,DARREN
XDGU SW,DARREN
BUOY LN,DARREN
SWIM LN,DARREN
FLOTH IM,DARREN
TTRX LN,DARREN
TTRX IM,DARREN
TABX GY,DARREN
TABA GR,DARREN
TABC GY,DARREN
JEST SW,DARREN
OM3I GR,DARREN
EFRN LN,DARREN
EFRN GY,DARREN
XYLD GY,DARREN
USIG IM,DARREN
USIH FP,DARREN
UHYG LN,DARREN
PJS1 IM,DARREN
PJS1 SW,DARREN
PJSR SW,DARREN
PJSR GY,DARREN
